,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
150,Gnar,Camille,Galio,Ezreal,Alistar,Gangplank,Jarvan IV,Corki,Kog'Maw,Morgana,True,,,,
151,Vladimir,Jax,Zoe,Ezreal,Alistar,Gangplank,Jarvan IV,Azir,Varus,Leona,False,,,,
152,Maokai,Jax,Malzahar,Kalista,Alistar,Trundle,Kha'Zix,Taliyah,Varus,Ornn,True,,,,
153,Gangplank,Jax,Zoe,Vayne,Alistar,Gnar,Sejuani,Taliyah,Ezreal,Tahm Kench,False,,,,
154,Ornn,Kha'Zix,Ryze,Tristana,Taric,Camille,Jarvan IV,Cassiopeia,Ezreal,Braum,True,,,,
155,Gnar,Sejuani,Malzahar,Ezreal,Alistar,Vladimir,Jarvan IV,Azir,Tristana,Taric,False,,,,
156,Gangplank,Sejuani,Corki,Ezreal,Tahm Kench,Nasus,Zac,Galio,Sivir,Alistar,True,,,,
157,Gangplank,Sejuani,Kassadin,Kog'Maw,Soraka,Rumble,Jarvan IV,Azir,Sivir,Tahm Kench,True,,,,
158,Gangplank,Kha'Zix,Azir,Kalista,Alistar,Ornn,Camille,Zoe,Ezreal,Tahm Kench,True,,,,
159,Gnar,Jarvan IV,Ryze,Ezreal,Ornn,Gangplank,Jax,Azir,Tristana,Braum,True,,,,
160,Gangplank,Gragas,Veigar,Ezreal,Taric,Riven,Nidalee,Azir,Varus,Braum,True,,,,
161,Gnar,Jarvan IV,Ryze,Ezreal,Tahm Kench,Vladimir,Zac,Azir,Varus,Alistar,True,,,,
162,Ornn,Sejuani,Karma,Varus,Janna,Shen,Jarvan IV,Galio,Caitlyn,Braum,False,,,,
163,Ornn,Jax,Corki,Varus,Tahm Kench,Trundle,Sejuani,Galio,Caitlyn,Braum,True,,,,
164,Gnar,Jarvan IV,Corki,Varus,Tahm Kench,Ornn,Kha'Zix,Karma,Caitlyn,Braum,True,,,,
165,Gnar,Jarvan IV,Zoe,Ezreal,Braum,Maokai,Kha'Zix,Ryze,Vayne,Tahm Kench,True,,,,
166,Ornn,Zac,Ryze,Sivir,Braum,Camille,Sejuani,Taliyah,Ezreal,Alistar,False,,,,
167,Gnar,Jarvan IV,Ryze,Tristana,Alistar,Jayce,Zac,Zoe,Caitlyn,Braum,True,,,,
168,Gnar,Jarvan IV,Azir,Jinx,Thresh,Jayce,Camille,Galio,Caitlyn,Braum,True,,,,
169,Cho'Gath,Kha'Zix,Azir,Kalista,Braum,Camille,Sejuani,Zoe,Varus,Alistar,False,,,,
170,Ornn,Jarvan IV,Zoe,Tristana,Janna,Maokai,Sejuani,Azir,Kog'Maw,Tahm Kench,True,,,,
171,Ornn,Nunu,Azir,Xayah,Rakan,Gangplank,Sejuani,Zoe,Kog'Maw,Braum,False,,,,
172,Camille,Nunu,Orianna,Xayah,Rakan,Gnar,Zac,Syndra,Caitlyn,Shen,True,,,,
173,Camille,Zac,Cassiopeia,Caitlyn,Braum,Gnar,Nunu,Orianna,Varus,Alistar,False,,,,
174,Gangplank,Kha'Zix,Vladimir,Caitlyn,Janna,Gnar,Zac,Azir,Tristana,Tahm Kench,True,,,,
175,Yasuo,Zac,Azir,Tristana,Taric,Gangplank,Nidalee,Ryze,Varus,Thresh,False,,,,
176,Jayce,Rengar,Galio,Ezreal,Braum,Ornn,Gragas,Azir,Kalista,Alistar,True,,,,
177,Gnar,Rengar,Zoe,Kalista,Shen,Gangplank,Kha'Zix,Malzahar,Ezreal,Alistar,False,,,,
178,Gangplank,Kha'Zix,Malzahar,Kalista,Taric,Gnar,Jarvan IV,Syndra,Kog'Maw,Alistar,False,,,,
179,Gnar,Nidalee,Malzahar,Kalista,Blitzcrank,Maokai,Rengar,Zoe,Ezreal,Tahm Kench,False,,,,
180,Camille,Rengar,Zoe,Varus,Taric,Gnar,Nidalee,Malzahar,Ezreal,Shen,True,,,,
181,Gangplank,Kha'Zix,Malzahar,Ezreal,Taric,Riven,Jax,Ryze,Kalista,Shen,True,,,,
182,Gnar,Jarvan IV,Azir,Tristana,Braum,Vladimir,Kha'Zix,Ryze,Xayah,Rakan,True,,,,
183,Cho'Gath,Gragas,Corki,Tristana,Braum,Gnar,Jarvan IV,Galio,Ezreal,Ornn,True,,,,
184,Vladimir,Jarvan IV,Kassadin,Caitlyn,Tahm Kench,Ornn,Gragas,Taliyah,Tristana,Taric,True,,,,
185,Ornn,Gragas,Corki,Tristana,Braum,Vladimir,Jarvan IV,Ryze,Caitlyn,Tahm Kench,True,,,,
186,Cho'Gath,Gragas,Zoe,Kog'Maw,Braum,Jax,Jarvan IV,Malzahar,Caitlyn,Thresh,False,,,,
187,Camille,Sejuani,Galio,Twitch,Braum,Gnar,Gragas,Zoe,Caitlyn,Brand,True,,,,
188,Gnar,Sejuani,Corki,Kalista,Shen,Camille,Zac,Aurelion Sol,Tristana,Alistar,False,,,,
189,Gangplank,Sejuani,Azir,Kog'Maw,Alistar,Gnar,Zac,Ryze,Tristana,Taric,False,,,,
190,Gnar,Jax,Galio,Kog'Maw,Tahm Kench,Ornn,Zac,Corki,Tristana,Zilean,False,,,,
191,Gnar,Nunu,Zoe,Kalista,Braum,Gangplank,Gragas,Ryze,Tristana,Thresh,True,,,,
192,Gnar,Sejuani,Ryze,Varus,Alistar,Urgot,Nunu,Orianna,Kalista,Tahm Kench,True,,,,
193,Jayce,Jarvan IV,Galio,Kalista,Shen,Gnar,Sejuani,Taliyah,Tristana,Braum,False,,,,
194,Gnar,Jarvan IV,Galio,Xayah,Rakan,Ornn,Sejuani,Corki,Varus,Tahm Kench,False,,,,
195,Gangplank,Sejuani,Taliyah,Kog'Maw,Braum,Gnar,Zac,Corki,Varus,Karma,True,,,,
196,Ornn,Jarvan IV,Ryze,Caitlyn,Nami,Gnar,Sejuani,Zoe,Varus,Taric,True,,,,
197,Gnar,Sejuani,Zoe,Kalista,Janna,Ornn,Jarvan IV,Ryze,Tristana,Tahm Kench,False,,,,
198,Gangplank,Shyvana,Malzahar,Miss Fortune,Tahm Kench,Riven,Jarvan IV,Orianna,Caitlyn,Janna,True,,,,
199,Rumble,Shyvana,Ryze,Jhin,Braum,Gnar,Kha'Zix,Malzahar,Miss Fortune,Bard,False,,,,
200,Jayce,Sejuani,Zoe,Kog'Maw,Taric,Gangplank,Zac,Ryze,Ezreal,Ornn,False,,,,
201,Ornn,Jarvan IV,Ryze,Kalista,Alistar,Gnar,Kha'Zix,Azir,Kog'Maw,Tahm Kench,False,,,,
202,Camille,Nidalee,Zoe,Varus,Braum,Gnar,Sejuani,Malzahar,Tristana,Taric,False,,,,
203,Gnar,Gragas,Galio,Sivir,Tahm Kench,Gangplank,Jarvan IV,Corki,Ezreal,Ornn,False,,,,
204,Camille,Sejuani,Zoe,Xayah,Rakan,Fiora,Jax,Azir,Ezreal,Ornn,True,,,,
205,Vladimir,Rengar,Cassiopeia,Ezreal,Braum,Ornn,Jax,Ryze,Varus,Taric,True,,,,
206,Ornn,Jax,Ryze,Caitlyn,Braum,Shen,Kha'Zix,Azir,Sivir,Taric,False,,,,
207,Rumble,Kha'Zix,Azir,Ezreal,Alistar,Gnar,Lee Sin,Ryze,Tristana,Shen,True,,,,
208,Cho'Gath,Jarvan IV,Ryze,Kalista,Shen,Vladimir,Camille,Azir,Ezreal,Braum,False,,,,
209,Gangplank,Camille,Taliyah,Kalista,Taric,Yorick,Jarvan IV,Orianna,Varus,Braum,True,,,,
210,Urgot,Lee Sin,Vladimir,Tristana,Braum,Gnar,Sejuani,Cassiopeia,Caitlyn,Taric,False,,,,
211,Gnar,Zac,Cassiopeia,Kalista,Braum,Maokai,Kha'Zix,Ryze,Kog'Maw,Tahm Kench,True,,,,
212,Vladimir,Jarvan IV,Twisted Fate,Kog'Maw,Alistar,Gangplank,Sejuani,Taliyah,Varus,Ornn,False,,,,
213,Gnar,Jarvan IV,Galio,Kog'Maw,Braum,Ornn,Zac,Azir,Tristana,Taric,False,,,,
214,Gangplank,Gragas,Orianna,Varus,Taric,Gnar,Sejuani,Cassiopeia,Kog'Maw,Alistar,False,,,,
215,Gangplank,Jarvan IV,Zilean,Kog'Maw,Alistar,Gnar,Sejuani,Orianna,Tristana,Braum,True,,,,
216,Gnar,Jarvan IV,Zoe,Varus,Shen,Camille,Sejuani,Taliyah,Xayah,Rakan,True,,,,
217,Gnar,Camille,Zoe,Tristana,Taric,Gangplank,Kha'Zix,Malzahar,Kalista,Braum,True,,,,
218,Camille,Kha'Zix,Azir,Varus,Tahm Kench,Gnar,Rengar,Taliyah,Kalista,Taric,True,,,,
